;COMUNA;total;De18a24P;FemeninoP
1;Algarrobo;1296;0.319444444;0.50154321
2;Alhue;352;0.46875;0.477272727
3;Alto Biobio;301;0.853820598;0.508305648
4;Alto Del Carmen;395;0.349367089;0.481012658
5;Alto Hospicio;3979;0.724051269;0.522744408
6;Ancud;2552;0.407915361;0.489811912
7;Andacollo;887;0.384441939;0.491544532
8;Angol;3509;0.451980621;0.532345398
9;Antartica;3;NA;0.333333333
10;Antofagasta;22093;0.406056217;0.595663785
11;Antuco;322;0.375776398;0.400621118
12;Arauco;1957;0.516096065;0.525293817
13;Arica;14142;0.387993212;0.573751945
14;Aysen;1431;0.461914745;0.532494759
15;Buin;4796;0.591326105;0.536905755
16;Bulnes;1396;0.452005731;0.489971347
17;Cabildo;1060;0.456603774;0.490566038
18;Cabo De Hornos(Ex-Navarino);57;0.789473684;0.543859649
19;Cabrero;1622;0.567200986;0.497533909
20;Calama;11268;0.450212993;0.573482428
21;Calbuco;2363;0.377909437;0.477359289
22;Caldera;990;0.45959596;0.538383838
23;Calera De Tango;1433;0.579204466;0.515003489
24;Calera;3547;0.436425148;0.522131379
25;Calle Larga;822;0.467153285;0.52919708
26;Camarones;163;0.17791411;0.521472393
27;Camiña;113;0.371681416;0.530973451
28;Canela;577;0.344887348;0.389948007
29;Cañete;1993;0.556949323;0.511289513
30;Carahue;1869;0.426966292;0.438202247
31;Cartagena;1570;0.310191083;0.521656051
32;Casablanca;1704;0.477112676;0.511150235
33;Castro;3312;0.497886473;0.501811594
34;Catemu;844;0.394549763;0.476303318
35;Cauquenes;2622;0.348207475;0.54805492
36;Cerrillos;4986;0.390894505;0.599277978
37;Cerro Navia;7381;0.410242515;0.569435036
38;Chaiten;245;0.469387755;0.371428571
39;Chanco;561;0.461675579;0.509803922
40;Chañaral;1093;0.484903934;0.507776761
41;Chepica;689;0.452830189;0.481857765
42;Chiguayante;4088;0.490459883;0.540362035
43;Chile Chico;561;0.26916221;0.504456328
44;Chillan Viejo;1509;0.616964877;0.507620941
45;Chillan;11135;0.497350696;0.533273462
46;Chimbarongo;1938;0.527863777;0.478844169
47;Cholchol;656;0.460365854;0.414634146
